player,market,line,over_odds,under_odds,sportsbook,over_quote_time_utc,under_quote_time_utc,snapshot_received_by_utc,source,over_source_link,under_source_link,market_id,fixture_id,player_id,grouping_key,over_odds_id,under_odds_id,availability,selection_convention,line_evidence,over_evidence,under_evidence,time_evidence,source_evidence
Kyren Williams,Carries,12.5,-135,105,ESPN BET,2026-09-10T14:33:26.434187+00:00,2026-09-10T14:33:26.434187+00:00,2026-09-10T16:37:30Z,OpticOdds,,,player_rushing_attempts,20260911F39A2BD0,C3619260E06D,kyren_williams:12.5,78014-13184-26-36:espn_bet:player_rushing_attempts:kyren_williams_over_12_5,78014-13184-26-36:espn_bet:player_rushing_attempts:kyren_williams_under_12_5,returned,Over/Under,[12.5](claim:679),[-135](claim:680),[+105](claim:681),O: [2026-09-10 10:33:26 EDT](claim:683); U: [2026-09-10 10:33:26 EDT](claim:685),[ESPN BET via OpticOdds](claim:32)
Kyren Williams,Carries,,,,Pinnacle,,,2026-09-10T16:37:30Z,,,,,,,,,,not_returned,,,,,,
Kyren Williams,Receptions,1.5,-149,117,DraftKings,2026-09-10T14:59:46.009040+00:00,2026-09-10T14:59:46.009040+00:00,2026-09-10T16:37:30Z,OpticOdds,https://sportsbook.draftkings.com/event/34107951?outcomes=0QA334323166%232150675586_13L88808Q1-1669482518Q20,https://sportsbook.draftkings.com/event/34107951?outcomes=0QA334323166%232150675601_13L88808Q1-847255388Q20,player_receptions,20260911F39A2BD0,C3619260E06D,kyren_williams:1.5,78014-13184-26-36:draftkings:player_receptions:kyren_williams_over_1_5,78014-13184-26-36:draftkings:player_receptions:kyren_williams_under_1_5,returned,Over/Under,[1.5](claim:686),[-149](claim:687),[+117](claim:688),O: [2026-09-10 10:59:46 EDT](claim:690); U: [2026-09-10 10:59:46 EDT](claim:692),[DraftKings via OpticOdds](claim:8)
Kyren Williams,Receptions,1.5,-148,112,FanDuel,2026-09-10T14:13:00.978310+00:00,2026-09-10T11:04:17.787807+00:00,2026-09-10T16:37:30Z,OpticOdds,https://sportsbook.fanduel.com/addToBetslip?marketId=42.604500586&selectionId=37541915,https://sportsbook.fanduel.com/addToBetslip?marketId=42.604500586&selectionId=37541914,player_receptions,20260911F39A2BD0,C3619260E06D,kyren_williams:1.5,78014-13184-26-36:fanduel:player_receptions:kyren_williams_over_1_5,78014-13184-26-36:fanduel:player_receptions:kyren_williams_under_1_5,returned,Over/Under,[1.5](claim:693),[-148](claim:694),[+112](claim:695),O: [2026-09-10 10:13:00 EDT](claim:697); U: [2026-09-10 07:04:17 EDT](claim:699),[FanDuel via OpticOdds](claim:47)
Kyren Williams,Receptions,1.5,-150,115,Caesars,2026-09-10T10:58:23.014535+00:00,2026-09-10T10:58:23.014535+00:00,2026-09-10T16:37:30Z,OpticOdds,https://sportsbook.caesars.com/<COUNTRY>/<STATE>/bet/betslip?selectionIds=70d358c1-1b2c-3c50-94c1-9f343c9606ae,https://sportsbook.caesars.com/<COUNTRY>/<STATE>/bet/betslip?selectionIds=375d7416-d919-3e0e-ba58-8aeb777a3a77,player_receptions,20260911F39A2BD0,C3619260E06D,kyren_williams:1.5,78014-13184-26-36:caesars:player_receptions:kyren_williams_over_1_5,78014-13184-26-36:caesars:player_receptions:kyren_williams_under_1_5,returned,Over/Under,[1.5](claim:700),[-150](claim:701),[+115](claim:702),O: [2026-09-10 06:58:23 EDT](claim:704); U: [2026-09-10 06:58:23 EDT](claim:706),[Caesars via OpticOdds](claim:16)
Kyren Williams,Receptions,,,,BetMGM,,,2026-09-10T16:37:30Z,,,,,,,,,,not_returned,,,,,,
Kyren Williams,Receptions,1.5,-170,125,Fanatics,2026-09-10T14:40:45.939395+00:00,2026-09-10T14:40:26.706905+00:00,2026-09-10T16:37:30Z,OpticOdds,https://fanatics.onelink.me/5kut?deep_link_sub1=%7B%22legs%22%3A%5B%7B%22eventId%22%3A%224488987%22%2C%22marketId%22%3A%22697327524%22%2C%22selectionId%22%3A%221720056295%22%7D%5D%7D&deep_link_value=consume-betslip,https://fanatics.onelink.me/5kut?deep_link_sub1=%7B%22legs%22%3A%5B%7B%22eventId%22%3A%224488987%22%2C%22marketId%22%3A%22697327524%22%2C%22selectionId%22%3A%221720056303%22%7D%5D%7D&deep_link_value=consume-betslip,player_receptions,20260911F39A2BD0,C3619260E06D,kyren_williams:1.5,78014-13184-26-36:fanatics:player_receptions:kyren_williams_over_1_5,78014-13184-26-36:fanatics:player_receptions:kyren_williams_under_1_5,returned,Over/Under,[1.5](claim:707),[-170](claim:708),[+125](claim:709),O: [2026-09-10 10:40:45 EDT](claim:711); U: [2026-09-10 10:40:26 EDT](claim:713),[Fanatics via OpticOdds](claim:24)
Kyren Williams,Receptions,1.5,-155,120,ESPN BET,2026-09-10T14:13:11.560920+00:00,2026-09-10T14:13:11.560920+00:00,2026-09-10T16:37:30Z,OpticOdds,,,player_receptions,20260911F39A2BD0,C3619260E06D,kyren_williams:1.5,78014-13184-26-36:espn_bet:player_receptions:kyren_williams_over_1_5,78014-13184-26-36:espn_bet:player_receptions:kyren_williams_under_1_5,returned,Over/Under,[1.5](claim:714),[-155](claim:715),[+120](claim:716),O: [2026-09-10 10:13:11 EDT](claim:718); U: [2026-09-10 10:13:11 EDT](claim:720),[ESPN BET via OpticOdds](claim:32)
Kyren Williams,Receptions,1.5,-165,135,Pinnacle,2026-09-10T16:18:07.228606+00:00,2026-09-10T16:18:07.228606+00:00,2026-09-10T16:37:30Z,OpticOdds,https://www.pinnacle.com/en/football/nfl/san-francisco-49ers-vs-los-angeles-rams/1630877987/#player-props,https://www.pinnacle.com/en/football/nfl/san-francisco-49ers-vs-los-angeles-rams/1630877987/#player-props,player_receptions,20260911F39A2BD0,C3619260E06D,kyren_williams:1.5,78014-13184-26-36:pinnacle:player_receptions:kyren_williams_over_1_5,78014-13184-26-36:pinnacle:player_receptions:kyren_williams_under_1_5,returned,Over/Under,[1.5](claim:721),[-165](claim:722),[+135](claim:723),O: [2026-09-10 12:18:07 EDT](claim:725); U: [2026-09-10 12:18:07 EDT](claim:727),[Pinnacle via OpticOdds](claim:76)
Kyren Williams,Receiving yards,11.5,-109,-115,DraftKings,2026-09-10T14:07:58.630710+00:00,2026-09-10T14:07:58.630710+00:00,2026-09-10T16:37:30Z,OpticOdds,https://sportsbook.draftkings.com/event/34107951?outcomes=0QA334322548%232273075489_13L88808Q11960963348Q20,https://sportsbook.draftkings.com/event/34107951?outcomes=0QA334322548%232273075490_13L88808Q1769551952Q20,player_receiving_yards,20260911F39A2BD0,C3619260E06D,kyren_williams:11.5,78014-13184-26-36:draftkings:player_receiving_yards:kyren_williams_over_11_5,78014-13184-26-36:draftkings:player_receiving_yards:kyren_williams_under_11_5,returned,Over/Under,[11.5](claim:728),[-109](claim:729),[-115](claim:730),O: [2026-09-10 10:07:58 EDT](claim:732); U: [2026-09-10 10:07:58 EDT](claim:734),[DraftKings via OpticOdds](claim:8)
