game_id,kickoff_utc,player,gsis_id,team,position,metric,layer,forecast_stage,seal_written_at,run_id,role_tier,model_mean,model_median,q10,q25,q50,q75,q90,actual,actual_basis,absence_class,forecast_minus_actual,abs_error,pct_error,pit,in_50,in_80,in_90,crps,n_draws,completeness,qb3_configuration,qb3_contaminated,qb3_contamination_basis,outcome_sha256,season,week,seal_rank,seal_dir,depth_chart,depth_rank,starter_or_backup,opportunity_metric,p_participate_model,opportunity_actual,opportunity_actual_basis,participated_actual,model_mean_conditional_on_participation,p_metric_nonzero_model,injury_state,on_official_inactive_list,injury_report_status,season_boundary,n_own_prior_games,prior_history_bucket,prior_history_basis,sq_error
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0034771,00-0034771,PIT,QB,qb/ptd,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,0.097,0.097,,0.199646,True,True,True,0.005271,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB2,2,BACKUP,qb/db,0.258,0.0,ZERO_BY_COMPLETION,0,0.376,0.069,NOT_ON_REPORT,0,,1,21,ESTABLISHED_5PLUS,qb,0.009409
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0034771,00-0034771,PIT,QB,qb/int,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,0.06,0.06,,0.204149,True,True,True,0.002426,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB2,2,BACKUP,qb/db,0.258,0.0,ZERO_BY_COMPLETION,0,0.2326,0.048,NOT_ON_REPORT,0,,1,21,ESTABLISHED_5PLUS,qb,0.0036
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0034771,00-0034771,PIT,QB,qb/sacks,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,0.103,0.103,,0.199002,True,True,True,0.005829,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB2,2,BACKUP,qb/db,0.258,0.0,ZERO_BY_COMPLETION,0,0.3992,0.072,NOT_ON_REPORT,0,,1,21,ESTABLISHED_5PLUS,qb,0.010609
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0034771,00-0034771,PIT,QB,qb/db,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,2.279,0.0,0.0,0.0,0.0,1.0,6.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,2.279,2.279,,0.159116,True,True,True,0.263603,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB2,2,BACKUP,qb/db,0.258,0.0,ZERO_BY_COMPLETION,0,8.8333,0.258,NOT_ON_REPORT,0,,1,21,ESTABLISHED_5PLUS,qb,5.193841
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0036212,00-0036212,ATL,QB,qb/att,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,18.045,23.0,0.0,0.0,23.0,32.0,37.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,18.045,18.045,,0.08063,True,True,True,9.398815,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB1,1,STARTER,qb/db,0.624,0.0,ZERO_BY_COMPLETION,0,28.9183,0.624,OFFICIAL_INACTIVE,1,OUT,1,78,ESTABLISHED_5PLUS,qb,325.622025
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0036212,00-0036212,ATL,QB,qb/cmp,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,11.293,13.0,0.0,0.0,13.0,19.0,24.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,11.293,11.293,,0.080845,True,True,True,5.706735,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB1,1,STARTER,qb/db,0.624,0.0,ZERO_BY_COMPLETION,0,18.0978,0.623,OFFICIAL_INACTIVE,1,OUT,1,78,ESTABLISHED_5PLUS,qb,127.531849
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0036212,00-0036212,ATL,QB,qb/pyds,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,131.1982,141.5,0.0,0.0,141.5,226.5208,289.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,131.1982,131.1982,,0.08063,True,True,True,63.936676,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB1,1,STARTER,qb/db,0.624,0.0,ZERO_BY_COMPLETION,0,210.2536,0.624,OFFICIAL_INACTIVE,1,OUT,1,78,ESTABLISHED_5PLUS,qb,17212.967683
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0036212,00-0036212,ATL,QB,qb/ptd,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,0.765,0.0,0.0,0.0,0.0,1.0,2.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,0.765,0.765,,0.118586,True,True,True,0.251935,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB1,1,STARTER,qb/db,0.624,0.0,ZERO_BY_COMPLETION,0,1.226,0.447,OFFICIAL_INACTIVE,1,OUT,1,78,ESTABLISHED_5PLUS,qb,0.585225
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0036212,00-0036212,ATL,QB,qb/int,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,0.459,0.0,0.0,0.0,0.0,1.0,2.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,0.459,0.459,,0.143891,True,True,True,0.119965,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB1,1,STARTER,qb/db,0.624,0.0,ZERO_BY_COMPLETION,0,0.7356,0.329,OFFICIAL_INACTIVE,1,OUT,1,78,ESTABLISHED_5PLUS,qb,0.210681
2026_01_ATL_PIT,2026-09-13T17:00:00Z,00-0036212,00-0036212,ATL,QB,qb/sacks,qb,PRE_INACTIVES,2026-09-13T15:46:51Z,f67d72ab0701d211,QB,1.075,1.0,0.0,0.0,1.0,2.0,3.0,0.0,ZERO_BY_COMPLETION,ZERO_IF_ABSENT,1.075,1.075,,0.104862,True,True,True,0.394871,1000,PARTIAL_PLAYER_COVERAGE,,True,derived from previous_primary_detail; the board predates the qb3_configuration field,1415dd98ba7f701af23d20b9aa63c7e2dd5bd6a924978a650f9b6b47eb55f9bd,2026,1,3,nfl/research/live/2026_01_ATL_PIT/pre_inactives_V1_CANDIDATE_R8/f67d72ab0701d211,QB1,1,STARTER,qb/db,0.624,0.0,ZERO_BY_COMPLETION,0,1.7228,0.511,OFFICIAL_INACTIVE,1,OUT,1,78,ESTABLISHED_5PLUS,qb,1.155625
