player,gsis_id,team,opponent,position,salary,injury_status,practice_status,availability,offensive_depth,special_teams,role,role_support,proj_snap_share,proj_carries,proj_targets,proj_receptions,proj_pass_yards,proj_rush_yards,proj_rec_yards,proj_pass_td,proj_rush_td,proj_rec_td,td_expectation,dk_mean,dk_floor_p10,dk_median,dk_ceiling_p90,dk_p95,dk_sd,p_zero,value_per_1k,current_season_avg,previous_season_avg,evidence_grade,uncertainty,opportunity_basis,review_verdict,conflict_codes,dk_delta,carries_delta,targets_delta,change_cause,change_evidence
Theo Johnson,00-0039847,NYG,LA,targets,2600.0,,,ACTIVE,2,,PRIMARY_ROTATION,ROLE_SUPPORTED,0.46,,2.9219,1.8811,,,21.4151,,,0.1432,0.1432,4.9116,0.0,3.5,11.8,14.9,5.1753,0.2389,1.8891,1.0,,MEASURED,EVIDENCE_SUFFICIENT,,CLEARED_WITH_WARNING,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY,-1.0184,,-0.5706,MODEL_UPDATE,DK moved -1.02 and nothing on this row changed; the engine did: V1_CANDIDATE_R9_W1P_GSVUCY -> V1_CANDIDATE_R9_W1P_GSVUCYS
Darnell Mooney,00-0036309,NYG,LA,targets,3800.0,,,ACTIVE,3,,STARTER,ROLE_SUPPORTED,0.57,,2.9919,1.7331,,,22.4662,,,0.1318,0.1318,4.8556,0.0,3.2,12.0,15.6,5.4526,0.263,1.2778,2.0,,MEASURED,EVIDENCE_SUFFICIENT,,BLOCKING_REVIEW,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY;ROOM_OPPORTUNITY_ORDER_INVERTS_ROLE_ORDER,-0.4102,,-0.2315,,
Najee Harris,00-0036893,NYG,LA,carries,4000.0,,,ACTIVE,2,,ROLE_UNCERTAIN,ROLE_UNSUPPORTED,,4.8056,1.2599,0.9892,,20.8655,6.3916,,0.1491,0.0349,0.184,4.8478,0.0,3.5,11.5,14.3,4.7565,0.1368,1.212,COLD_START,,COLD_START,CURRENT_ROLE_COLD_START,,BLOCKING_REVIEW,COLD_START_CARRIES_MATERIAL_PROJECTION;RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY;UNSUPPORTED_ROLE_PUBLISHED,-0.2621,-0.4438,0.0173,,
Devin Singletary,00-0035250,NYG,LA,carries,4100.0,,,ACTIVE,3,KR3,SECONDARY_ROTATION,ROLE_SUPPORTED,0.36,3.6935,1.3133,1.0445,,15.9051,6.9943,,0.116,0.0403,0.1563,4.2873,0.0,3.0,10.4,13.3,4.5274,0.1831,1.0457,10.0,,MEASURED,EVIDENCE_SUFFICIENT,,CLEARED_WITH_WARNING,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY,-0.0256,-0.6827,0.2667,,
Tyler Higbee,00-0033110,LA,NYG,targets,2900.0,,Did Not Participate In Practice,ACTIVE,2,,BACKUP,ROLE_SUPPORTED,0.2,,2.2795,1.591,,,15.9801,,,0.1201,0.1201,3.934,0.0,1.6,11.8,15.2,5.586,0.456,1.3566,2.0,,MEASURED,EVIDENCE_SUFFICIENT,,CLEARED_WITH_WARNING,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY,-0.8129,,-0.4833,,
Ronnie Rivers,00-0037557,LA,NYG,carries,4000.0,,,ACTIVE,3,KR2,BACKUP,ROLE_SUPPORTED,0.13,3.3232,1.0556,0.9564,,14.2513,5.8235,,0.1087,0.0406,0.1493,3.8848,0.0,2.0,10.8,14.3,5.0833,0.3124,0.9712,6.0,,MEASURED,EVIDENCE_SUFFICIENT,,CLEARED_WITH_WARNING,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY,0.4385,0.0751,0.2191,,
Davis Allen,00-0039074,LA,NYG,targets,2500.0,,,ACTIVE,4,,SECONDARY_ROTATION,ROLE_SUPPORTED,0.34,,1.9418,1.3598,,,11.8543,,,0.1039,0.1039,3.1739,0.0,1.5,9.5,12.3,4.5312,0.4376,1.2696,1.0,,MEASURED,EVIDENCE_SUFFICIENT,,BLOCKING_REVIEW,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY;ROOM_OPPORTUNITY_ORDER_INVERTS_ROLE_ORDER,0.0584,,0.0413,,
Tutu Atwell,00-0036849,LA,NYG,targets,3400.0,,,ACTIVE,6,,ROLE_UNCERTAIN,ROLE_UNSUPPORTED,,,1.5754,0.9296,,,13.6139,,,0.0726,0.0726,3.0801,0.0,0.3,9.91,14.4,5.4211,0.4693,0.9059,COLD_START,,COLD_START,CURRENT_ROLE_COLD_START,,BLOCKING_REVIEW,COLD_START_CARRIES_MATERIAL_PROJECTION;RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY;ROOM_OPPORTUNITY_ORDER_INVERTS_ROLE_ORDER;UNSUPPORTED_ROLE_PUBLISHED,0.48,,0.2638,,
Konata Mumpfield,00-0040590,LA,NYG,targets,3000.0,,,ACTIVE,4,,SECONDARY_ROTATION,ROLE_SUPPORTED,0.26,,2.5594,1.2076,,,11.8109,,,0.0905,0.0905,2.9481,0.0,1.5,8.9,11.8,4.2438,0.4567,0.9827,1.0,,MEASURED,EVIDENCE_SUFFICIENT,,BLOCKING_REVIEW,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY;ROOM_OPPORTUNITY_ORDER_INVERTS_ROLE_ORDER,0.2357,,0.2225,,
Terrance Ferguson,00-0040737,LA,NYG,targets,2700.0,,,ACTIVE,3,,PRIMARY_ROTATION,ROLE_SUPPORTED,0.51,,1.7332,0.8672,,,16.0448,,,0.0625,0.0625,2.9091,0.0,0.0,9.2,12.6,4.8885,0.5453,1.0774,1.0,,MEASURED,EVIDENCE_SUFFICIENT,,CLEARED_WITH_WARNING,RECEIVING_ROLE_RESTS_ON_RAW_SNAPS_ONLY,-0.4859,,-0.2811,,
