Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2025 Avg,2026 Avg,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Exp.,EXP+,Used,Con.,Value
Charlie Woerner,,0,TE,TE2,600,ATL,@ GB,12,19.25,1.5,1.4,0,2.32,2.32,0,0.07,5.32,2.32,2.32,100,100,,0,3.9
Bo Melton,,0,CPTN,WR4,1800,GB,vs ATL,2,23.75,6.1,0,1,2.28,2.28,0,0,14.48,2.28,2.28,100,100,,0,1.3
Zachariah Branch,,0,WR,WR4,3800,ATL,@ GB,12,19.25,1.7,0,1.7,1.73,1.73,0,0,5.13,1.73,1.73,100,100,,0,0.5
Skyy Moore,,0,CPTN,WR3,3600,GB,vs ATL,2,23.75,3.2,0.9,1.3,1.7,1.7,0,0,8.1,1.7,1.7,100,100,,0,0.5
Chris Brooks,,0,RB,RB2,5400,GB,vs ATL,20,23.75,2.3,2,3.2,1.68,1.68,0,0,6.28,1.68,1.68,100,100,,18,0.3
Bo Melton,,0,WR,WR4,1200,GB,vs ATL,2,23.75,6.1,0,1,1.52,1.52,0,0,13.72,1.52,1.52,100,100,,0,1.3
Skyy Moore,,0,WR,WR3,2400,GB,vs ATL,2,23.75,3.2,0.9,1.3,1.13,1.13,0,0,7.53,1.13,1.13,100,100,,0,0.5
Tua Tagovailoa,,0,QB,QB2,8600,ATL,@ GB,10,19.25,8.2,12.8,0,0,0,0,0,0,0,0,100,100,,50,0
Jack Strand,,0,QB,QB4,8200,ATL,@ GB,10,19.25,0,0,2,0,0,0,0,0,0,0,100,100,,0,0
Cooper Rush,,0,QB,QB3,8000,ATL,@ GB,10,19.25,7,1.7,5.1,0,0,0,0,0,0,0,100,100,,0,0
Tyrod Taylor,,0,QB,QB2,6000,GB,vs ATL,29,23.75,8.6,10.9,0,0,0,0,0,0,0,0,100,100,,39,0
Kaleb Johnson,,0,RB,RB3,4000,GB,vs ATL,20,23.75,1.1,0.9,1.6,0,0,0,0,0,0,0,100,100,,0,0
Austin Hooper,,0,TE,TE3,1600,ATL,@ GB,12,19.25,5.7,4.6,4,0,0,0,0,0,0,0,100,100,,20,0
Chris Blair,,0,WR,WR5,1000,ATL,@ GB,12,19.25,1.1,0,0.8,0,0,0,0,0,0,0,100,100,,0,0
J. Michael Sturdivant,,0,WR,WR5,800,GB,vs ATL,2,23.75,0,0,0,0,0,0,0,0,0,0,100,100,,0,0
Josh Whyle,,0,TE,TE3,200,GB,vs ATL,2,23.75,3.6,2.4,0,0,0,0,0,0,0,0,100,100,,0,0
Mark Redman,,0,TE,TE4,200,GB,vs ATL,2,23.75,,,,0,0,0,0,,0,0,100,100,,0,0
Nick Muse,,0,TE,TE4,200,ATL,@ GB,12,19.25,1.6,0,0,0,0,0,0,0,0,0,100,100,,0,0
Tua Tagovailoa,,0,CPTN,QB2,12900,ATL,@ GB,10,19.25,8.2,12.8,0,0,0,0,0,0,0,0,100,100,,50,0
Jack Strand,,0,CPTN,QB4,12300,ATL,@ GB,10,19.25,0,0,2,0,0,0,0,0,0,0,100,100,,0,0
Cooper Rush,,0,CPTN,QB3,12000,ATL,@ GB,10,19.25,7,1.7,5.1,0,0,0,0,0,0,0,100,100,,0,0
Tyrod Taylor,,0,CPTN,QB2,9000,GB,vs ATL,29,23.75,8.6,10.9,0,0,0,0,0,0,0,0,100,100,,39,0
Kaleb Johnson,,0,CPTN,RB3,6000,GB,vs ATL,20,23.75,1.1,0.9,1.6,0,0,0,0,0,0,0,100,100,,0,0
Austin Hooper,,0,CPTN,TE3,2400,ATL,@ GB,12,19.25,5.7,4.6,4,0,0,0,0,0,0,0,100,100,,20,0
Chris Blair,,0,CPTN,WR5,1500,ATL,@ GB,12,19.25,1.1,0,0.8,0,0,0,0,0,0,0,100,100,,0,0
J. Michael Sturdivant,,0,CPTN,WR5,1200,GB,vs ATL,2,23.75,0,0,0,0,0,0,0,0,0,0,100,100,,0,0
Josh Whyle,,0,CPTN,TE3,300,GB,vs ATL,2,23.75,3.6,2.4,0,0,0,0,0,0,0,0,100,100,,0,0
Mark Redman,,0,CPTN,TE4,300,GB,vs ATL,2,23.75,,,,0,0,0,0,,0,0,100,100,,0,0
Nick Muse,,0,CPTN,TE4,300,ATL,@ GB,12,19.25,1.6,0,0,0,0,0,0,0,0,0,100,100,,0,0
