retrieved_at_utc,book,game_id,game,away_team,home_team,kickoff_utc,player,displayed_selection,team,opponent,position,market,market_id,market_class,is_main_line,line,over_price,under_price,selection_price,market_status,book_line_timestamp_utc,odds_id_over,odds_id_under,source_url,source_endpoint,evidence_type,raw_file
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Darren Waller,Darren Waller,CAR,ATL,TE,Player Longest Reception,player_longest_reception,player_prop,True,12.5,-110,-120,,open_two_sided,2026-09-19T15:43:06.282352Z,32889-18124-26-37:hard_rock:player_longest_reception:darren_waller_over_12_5,32889-18124-26-37:hard_rock:player_longest_reception:darren_waller_under_12_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/1634056208266690974,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_reception,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Drake London,Drake London,ATL,CAR,WR,Player Longest Reception,player_longest_reception,player_prop,True,21.5,-115,-115,,open_two_sided,2026-09-20T15:13:52.113523Z,32889-18124-26-37:hard_rock:player_longest_reception:drake_london_over_21_5,32889-18124-26-37:hard_rock:player_longest_reception:drake_london_under_21_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/777580570564755885,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_reception,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Jahan Dotson,Jahan Dotson,ATL,CAR,WR,Player Longest Reception,player_longest_reception,player_prop,True,12.5,-115,-115,,open_two_sided,2026-09-19T21:22:21.118800Z,32889-18124-26-37:hard_rock:player_longest_reception:jahan_dotson_over_12_5,32889-18124-26-37:hard_rock:player_longest_reception:jahan_dotson_under_12_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/6986184513604944303,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_reception,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Jalen Coker,Jalen Coker,CAR,ATL,WR,Player Longest Reception,player_longest_reception,player_prop,True,21.5,-115,-115,,open_two_sided,2026-09-20T08:36:50.825456Z,32889-18124-26-37:hard_rock:player_longest_reception:jalen_coker_over_21_5,32889-18124-26-37:hard_rock:player_longest_reception:jalen_coker_under_21_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/3203490039078191510,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_reception,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Kyle Pitts,Kyle Pitts,ATL,CAR,TE,Player Longest Reception,player_longest_reception,player_prop,True,15.5,-115,-115,,open_two_sided,2026-09-20T08:36:50.825456Z,32889-18124-26-37:hard_rock:player_longest_reception:kyle_pitts_over_15_5,32889-18124-26-37:hard_rock:player_longest_reception:kyle_pitts_under_15_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/7345606027829707173,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_reception,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Tetairoa McMillan,Tetairoa McMillan,CAR,ATL,WR,Player Longest Reception,player_longest_reception,player_prop,True,23.5,-110,-120,,open_two_sided,2026-09-20T03:26:21.071263Z,32889-18124-26-37:hard_rock:player_longest_reception:tetairoa_mcmillan_over_23_5,32889-18124-26-37:hard_rock:player_longest_reception:tetairoa_mcmillan_under_23_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/4779505951294226844,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_reception,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Tommy Tremble,Tommy Tremble,CAR,ATL,TE,Player Longest Reception,player_longest_reception,player_prop,True,10.5,-115,-115,,open_two_sided,2026-09-20T13:43:36.177861Z,32889-18124-26-37:hard_rock:player_longest_reception:tommy_tremble_over_10_5,32889-18124-26-37:hard_rock:player_longest_reception:tommy_tremble_under_10_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/1947774714139247024,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_reception,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Xavier Legette,Xavier Legette,CAR,ATL,WR,Player Longest Reception,player_longest_reception,player_prop,True,12.5,-110,-120,,open_two_sided,2026-09-20T15:56:52.734245Z,32889-18124-26-37:hard_rock:player_longest_reception:xavier_legette_over_12_5,32889-18124-26-37:hard_rock:player_longest_reception:xavier_legette_under_12_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/9126591263561351567,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_reception,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Bijan Robinson,Bijan Robinson,ATL,CAR,RB,Player Longest Rush,player_longest_rush,player_prop,True,16.5,-120,-110,,open_two_sided,2026-09-20T16:28:29.200702Z,32889-18124-26-37:hard_rock:player_longest_rush:bijan_robinson_over_16_5,32889-18124-26-37:hard_rock:player_longest_rush:bijan_robinson_under_16_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/2280333067010834837,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_rush,structured_json_api_response,raw/CAR_at_ATL__g4.json
2026-09-20T16:35:46Z,Hard Rock Bet,20260920E9718F0E,CAR@ATL,CAR,ATL,2026-09-20T17:00:00Z,Brian Robinson Jr.,Brian Robinson Jr.,ATL,CAR,RB,Player Longest Rush,player_longest_rush,player_prop,True,8.5,-105,-125,,open_two_sided,2026-09-20T00:51:35.925050Z,32889-18124-26-37:hard_rock:player_longest_rush:brian_robinson_jr_over_8_5,32889-18124-26-37:hard_rock:player_longest_rush:brian_robinson_jr_under_8_5,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/6170350715832238511,OpticOdds API v3 GET /fixtures/odds?fixture_id=20260920E9718F0E&sportsbook=Hard Rock&market=player_longest_rush,structured_json_api_response,raw/CAR_at_ATL__g4.json
