season,week,game_id,gsis_id,unit,condition,opportunity_error,efficiency_error,combined_error,same_sign_or_offsetting,predicted_attempts,actual_attempts,predicted_ypa,actual_ypa,predicted_yards,actual_yards
2022,2,2022_02_TEN_BUF,00-0034857,QB,COMPOSED,-0.875,-0.954487,-42.73468,SAME_SIGN,37.125,38,7.38762,8.34211,274.2653,317
2022,2,2022_02_TEN_BUF,00-0029701,QB,COMPOSED,10.875,1.622132,113.70208,SAME_SIGN,30.875,20,7.47213,5.85,230.7021,117
2022,2,2022_02_TEN_BUF,00-0038128,QB,COMPOSED,23.55056,5.946536,199.15626,SAME_SIGN,27.5506,4,7.44654,1.5,205.1563,6
2022,2,2022_02_WAS_DET,00-0033106,QB,COMPOSED,-2.0,-0.608986,-34.54639,SAME_SIGN,32.0,34,6.92043,7.52941,221.4536,256
2022,2,2022_02_WAS_DET,00-0032950,QB,COMPOSED,-19.75,-0.441522,-151.13445,SAME_SIGN,28.25,48,6.57931,7.02083,185.8656,337
2022,3,2022_03_ATL_SEA,00-0032268,QB,COMPOSED,-2.4,-4.093711,-99.52931,SAME_SIGN,17.6,20,7.35629,11.45,129.4707,229
2022,3,2022_03_ATL_SEA,00-0030565,QB,COMPOSED,-21.57143,-0.110495,-161.81266,SAME_SIGN,22.4286,44,7.27587,7.38636,163.1873,325
2022,3,2022_03_BAL_NE,00-0034796,QB,COMPOSED,1.75,0.030125,14.08153,SAME_SIGN,30.75,29,7.54737,7.51724,232.0815,218
2022,3,2022_03_BAL_NE,00-0036972,QB,COMPOSED,-3.375,-2.428668,-104.77882,SAME_SIGN,29.625,33,7.29861,9.72727,216.2212,321
2022,3,2022_03_BUF_MIA,00-0034857,QB,COMPOSED,-23.625,0.961224,-115.53239,OFFSETTING,38.375,62,7.41284,6.45161,284.4676,400
2022,3,2022_03_BUF_MIA,00-0031237,QB,COMPOSED,26.75,7.376634,212.07823,SAME_SIGN,28.75,2,7.37663,0.0,212.0782,0
2022,3,2022_03_BUF_MIA,00-0036212,QB,COMPOSED,15.5,-3.416552,45.71219,OFFSETTING,33.5,18,6.91678,10.33333,231.7122,186
2022,3,2022_03_CIN_NYJ,00-0036442,QB,COMPOSED,1.125,0.067126,11.0858,SAME_SIGN,37.125,36,7.70601,7.63889,286.0858,275
2022,3,2022_03_CIN_NYJ,00-0026158,QB,COMPOSED,-17.375,1.321639,-49.46661,OFFSETTING,34.625,52,6.80241,5.48077,235.5334,285
2022,3,2022_03_DAL_NYG,00-0033662,QB,COMPOSED,-16.0,0.849797,-98.22078,OFFSETTING,15.0,31,7.78528,6.93548,116.7792,215
2022,3,2022_03_DAL_NYG,00-0035710,QB,COMPOSED,-4.375,1.431445,23.5252,OFFSETTING,32.625,37,6.72874,5.2973,219.5252,196
2022,3,2022_03_DET_MIN,00-0033106,QB,COMPOSED,-8.125,0.011747,-55.89119,OFFSETTING,31.875,40,6.93675,6.925,221.1088,277
2022,3,2022_03_DET_MIN,00-0029604,QB,COMPOSED,-6.875,1.231396,-3.8975,OFFSETTING,33.125,40,7.7314,6.5,256.1025,260
2022,3,2022_03_GB_TB,00-0023459,QB,COMPOSED,-2.125,0.619786,4.89332,OFFSETTING,32.875,35,7.9055,7.28571,259.8933,255
2022,3,2022_03_GB_TB,00-0019596,QB,COMPOSED,-2.625,1.158869,30.24572,OFFSETTING,40.375,43,7.46119,6.30233,301.2457,271
2022,3,2022_03_HOU_CHI,00-0036945,QB,COMPOSED,7.75,0.835032,68.99058,SAME_SIGN,24.75,17,7.07033,6.23529,174.9906,106
2022,3,2022_03_HOU_CHI,00-0036898,QB,COMPOSED,0.5,-0.89119,-25.13554,OFFSETTING,32.5,32,6.76506,7.65625,219.8645,245
2022,3,2022_03_JAX_LAC,00-0036971,QB,COMPOSED,-5.5,-0.189829,-42.5741,SAME_SIGN,34.5,40,6.36017,6.55,219.4259,262
2022,3,2022_03_JAX_LAC,00-0036355,QB,COMPOSED,-5.125,0.767497,-3.22107,OFFSETTING,39.875,45,7.3675,6.6,293.7789,297
2022,3,2022_03_KC_IND,00-0026143,QB,COMPOSED,-4.25,1.196432,13.68315,OFFSETTING,32.75,37,7.19643,6.0,235.6832,222
2022,3,2022_03_KC_IND,00-0033873,QB,COMPOSED,-0.5,0.381486,9.90385,OFFSETTING,35.5,36,7.65926,7.27778,271.9038,262
2022,3,2022_03_KC_IND,00-0035889,QB,COMPOSED,0.0,9.797691,9.79769,ZERO_COMPONENT,1.0,1,9.79769,0.0,9.7977,0
2022,3,2022_03_LA_ARI,00-0035228,QB,COMPOSED,-18.875,1.937933,-26.36371,OFFSETTING,39.125,58,7.35173,5.41379,287.6363,314
