market_id,market,market_class,player,team,position,selection,line,over_odds,under_odds,selection_price,is_main_line,status,push_rule,odds_id_over,odds_id_under,line_timestamp_utc,retrieved_at_utc,sportsbook,fixture_id,game,kickoff_utc,season_week,source_endpoint,source_page,deep_link
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,16.5,,,-475,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:detroit_lions_+16_5,,2026-09-17T15:23:40.526596Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/6376929451405607326
point_spread,Point Spread,game_or_team,,BUF,,Buffalo Bills,16.5,,,-7000,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:buffalo_bills_+16_5,,2026-09-17T17:17:42.723693Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/6467001443953017251
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,17,,,-575,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:detroit_lions_+17,,2026-09-17T21:28:58.305032Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/1816612616227914147
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,17.5,,,-575,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:detroit_lions_+17_5,,2026-09-17T20:32:28.268598Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/1603254583881236907
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,18,,,-700,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:detroit_lions_+18,,2026-09-17T15:23:40.526596Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/2657378371662643621
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,18.5,,,-750,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:detroit_lions_+18_5,,2026-09-17T15:23:40.526596Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/1013283032695701935
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,19,,,-800,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:detroit_lions_+19,,2026-09-17T15:23:40.526596Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/1968046153698247086
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,19.5,,,-850,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:detroit_lions_+19_5,,2026-09-17T21:28:58.305032Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/3436501107197739428
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,20,,,-950,False,open_single_selection,push on exact line,16341-21473-26-37:hard_rock:point_spread:detroit_lions_+20,,2026-09-17T21:28:58.305032Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/2949549397488304546
point_spread,Point Spread,game_or_team,,DET,,Detroit Lions,20.5,,,-950,False,open_single_selection,"no push, half-point line",16341-21473-26-37:hard_rock:point_spread:detroit_lions_+20_5,,2026-09-17T15:23:40.526596Z,2026-09-17T21:45:02Z,Hard Rock Bet,202609189BE34D3B,DET @ BUF,2026-09-18T00:15:00Z,2,OpticOdds API v3 GET /fixtures/odds?fixture_id=202609189BE34D3B&sportsbook=Hard Rock,https://app.hardrockbet.com/ (book) via OpticOdds feed,https://share.hardrock.bet/Pt0T/bet?deep_link_value=hardrock://betslip/4819106192800481709
