rank,player,team,metric,mean,p10_p90,model_health,confidence_score,p_opportunity_ge_1,upstream_blockers
61,Cam Skattebo,NYG,rushing/carries,5.4841,1.8824-9.5932,MODEL_HEALTH_WARNING,0.6127,0.9409,CARRY_ALLOCATION_HEALTH_WARNING
62,Najee Harris,NYG,rushing/carries,4.791,1.4661-8.6246,MODEL_HEALTH_WARNING,0.6023,0.9291,CARRY_ALLOCATION_HEALTH_WARNING
63,Tyrone Tracy Jr.,NYG,rushing/carries,6.1198,0.0-10.8149,MODEL_HEALTH_WARNING,0.5885,0.8869,CARRY_ALLOCATION_HEALTH_WARNING
64,Javonte Williams,DAL,rushing/carries,7.4201,0.0-15.9036,MODEL_HEALTH_WARNING,0.5042,0.663,CARRY_ALLOCATION_HEALTH_WARNING
65,Israel Abanikanda,DAL,rushing/carries,4.7913,0.0-12.2255,MODEL_HEALTH_WARNING,0.5,0.7521,CARRY_ALLOCATION_HEALTH_WARNING
66,Devin Singletary,NYG,rushing/carries,2.9928,0.0-6.6334,MODEL_HEALTH_WARNING,0.4881,0.6847,CARRY_ALLOCATION_HEALTH_WARNING
67,Emari Demercado,DAL,rushing/carries,3.5165,0.0-9.7705,MODEL_HEALTH_WARNING,0.4337,0.5424,CARRY_ALLOCATION_HEALTH_WARNING
68,Hunter Luepke,DAL,rushing/carries,1.812,0.0-5.6164,MODEL_HEALTH_WARNING,0.3785,0.3711,CARRY_ALLOCATION_HEALTH_WARNING
69,Patrick Ricard,NYG,rushing/carries,0.7268,0.0-2.5238,MODEL_HEALTH_WARNING,0.3263,0.2323,CARRY_ALLOCATION_HEALTH_WARNING
70,Jaxson Dart,NYG,qb/db,29.2411,15.0-43.0,CONTAMINATED_QB3,0.4975,0.9304,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
71,Jaxson Dart,NYG,qb/att,24.4775,12.0-37.0,CONTAMINATED_QB3,0.4951,0.9304,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
72,Jaxson Dart,NYG,qb/cmp,15.3499,7.0-24.0,CONTAMINATED_QB3,0.4919,0.9304,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
73,Jaxson Dart,NYG,qb/pyds,159.959,56.1059-265.0,CONTAMINATED_QB3,0.4845,0.9304,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
74,Jaxson Dart,NYG,qb/rush_opp,4.9224,1.0-9.0,CONTAMINATED_QB3,0.4725,0.9304,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
75,Jaxson Dart,NYG,qb/scr,2.4311,0.0-5.0,CONTAMINATED_QB3,0.4563,0.9304,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
76,Jaxson Dart,NYG,qb/sacks,2.3325,0.0-5.0,CONTAMINATED_QB3,0.4531,0.9304,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
77,Jaxson Dart,NYG,qb/int,0.4231,0.0-1.0,CONTAMINATED_QB3,0.4448,0.9304,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
78,Sam Howell,DAL,qb/int,0.0679,0.0-0.0,CONTAMINATED_QB3,0.3817,0.4869,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
79,Sam Howell,DAL,qb/scr,0.103,0.0-0.0,CONTAMINATED_QB3,0.3817,0.4869,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
80,Joe Milton III,DAL,qb/db,21.6747,0.0-44.0,CONTAMINATED_QB3,0.3548,0.6305,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
81,Joe Milton III,DAL,qb/att,19.576,0.0-41.0,CONTAMINATED_QB3,0.3524,0.6305,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
82,Joe Milton III,DAL,qb/cmp,12.5482,0.0-27.0,CONTAMINATED_QB3,0.3502,0.6305,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
83,Joe Milton III,DAL,qb/pyds,141.6983,0.0-317.0,CONTAMINATED_QB3,0.347,0.6305,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
84,Joe Milton III,DAL,qb/rush_opp,3.3609,0.0-8.0,CONTAMINATED_QB3,0.3417,0.6305,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
85,Joe Milton III,DAL,qb/scr,1.5004,0.0-4.0,CONTAMINATED_QB3,0.331,0.6305,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
86,Jameis Winston,NYG,qb/int,0.0775,0.0-0.0,CONTAMINATED_QB3,0.3223,0.2481,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
87,Jameis Winston,NYG,qb/scr,0.0989,0.0-0.0,CONTAMINATED_QB3,0.3223,0.2481,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
88,Jake Haener,NYG,qb/int,0.0251,0.0-0.0,CONTAMINATED_QB3,0.3181,0.2355,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
89,Jake Haener,NYG,qb/rush_opp,0.0975,0.0-0.0,CONTAMINATED_QB3,0.3181,0.2355,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
90,Jake Haener,NYG,qb/sacks,0.1,0.0-0.0,CONTAMINATED_QB3,0.3181,0.2355,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
91,Jake Haener,NYG,qb/scr,0.0799,0.0-0.0,CONTAMINATED_QB3,0.3181,0.2355,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
92,Joe Milton III,DAL,qb/int,0.6248,0.0-2.0,CONTAMINATED_QB3,0.3109,0.6305,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
93,Dak Prescott,DAL,qb/cmp,9.8468,0.0-25.0,CONTAMINATED_QB3,0.3073,0.53,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
94,Dak Prescott,DAL,qb/att,15.3205,0.0-39.0,CONTAMINATED_QB3,0.307,0.53,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
95,Dak Prescott,DAL,qb/db,16.7986,0.0-43.0,CONTAMINATED_QB3,0.3065,0.53,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
96,Joe Milton III,DAL,qb/sacks,0.5984,0.0-2.0,CONTAMINATED_QB3,0.3056,0.6305,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING
