player,team,position,role,metric,mean,median,q10,q25,q50,q75,q90,sd,p_opportunity_ge_1,forecast_stage,model_health,data_completeness,upstream_blockers,n_draws,written_at,run_id
Dak Prescott,DAL,QB,QB1,qb/cmp,9.8468,4.0,0.0,0.0,4.0,20.0,25.0,11.0443,0.53,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Dak Prescott,DAL,QB,QB1,qb/db,16.7986,8.0,0.0,0.0,8.0,34.0,43.0,18.45,0.53,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Dak Prescott,DAL,QB,QB1,qb/int,0.3219,0.0,0.0,0.0,0.0,0.0,1.0,0.6531,0.53,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Dak Prescott,DAL,QB,QB1,qb/pyds,111.2688,50.0147,0.0,0.0,50.0147,218.7831,299.0,128.1443,0.53,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Dak Prescott,DAL,QB,QB1,qb/rush_opp,1.065,0.0,0.0,0.0,0.0,2.0,3.0,1.5577,0.53,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Dak Prescott,DAL,QB,QB1,qb/sacks,0.8641,0.0,0.0,0.0,0.0,1.0,3.0,1.3143,0.53,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Dak Prescott,DAL,QB,QB1,qb/scr,0.614,0.0,0.0,0.0,0.0,1.0,2.0,1.0325,0.53,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jameis Winston,NYG,QB,QB2,qb/att,2.2615,0.0,0.0,0.0,0.0,0.0,8.0,6.0576,0.2481,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jameis Winston,NYG,QB,QB2,qb/cmp,1.3987,0.0,0.0,0.0,0.0,0.0,5.0,3.8517,0.2481,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jameis Winston,NYG,QB,QB2,qb/db,2.5401,0.0,0.0,0.0,0.0,0.0,9.0,6.7771,0.2481,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jameis Winston,NYG,QB,QB2,qb/int,0.0775,0.0,0.0,0.0,0.0,0.0,0.0,0.3546,0.2481,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jameis Winston,NYG,QB,QB2,qb/pyds,14.8669,0.0,0.0,0.0,0.0,0.0,49.9053,41.2543,0.2481,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jameis Winston,NYG,QB,QB2,qb/rush_opp,0.1822,0.0,0.0,0.0,0.0,0.0,1.0,0.6299,0.2481,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jameis Winston,NYG,QB,QB2,qb/sacks,0.1797,0.0,0.0,0.0,0.0,0.0,1.0,0.6285,0.2481,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jameis Winston,NYG,QB,QB2,qb/scr,0.0989,0.0,0.0,0.0,0.0,0.0,0.0,0.4054,0.2481,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Sam Howell,DAL,QB,QB2,qb/att,1.8711,0.0,0.0,0.0,0.0,4.0,4.1,2.9633,0.4869,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Sam Howell,DAL,QB,QB2,qb/cmp,1.187,0.0,0.0,0.0,0.0,2.0,4.0,2.1076,0.4869,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Sam Howell,DAL,QB,QB2,qb/db,2.1804,0.0,0.0,0.0,0.0,4.0,5.0,3.4067,0.4869,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Sam Howell,DAL,QB,QB2,qb/int,0.0679,0.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.4869,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Sam Howell,DAL,QB,QB2,qb/pyds,13.6063,0.0,0.0,0.0,0.0,24.7128,35.1145,22.0141,0.4869,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Sam Howell,DAL,QB,QB2,qb/rush_opp,0.1532,0.0,0.0,0.0,0.0,0.0,1.0,0.4492,0.4869,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Sam Howell,DAL,QB,QB2,qb/sacks,0.2062,0.0,0.0,0.0,0.0,0.0,1.0,0.5392,0.4869,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Sam Howell,DAL,QB,QB2,qb/scr,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.3516,0.4869,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jake Haener,NYG,QB,,qb/att,0.841,0.0,0.0,0.0,0.0,0.0,3.0,2.2779,0.2355,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jake Haener,NYG,QB,,qb/cmp,0.5275,0.0,0.0,0.0,0.0,0.0,2.0,1.5979,0.2355,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jake Haener,NYG,QB,,qb/db,1.0209,0.0,0.0,0.0,0.0,0.0,3.0,2.7346,0.2355,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Jake Haener,NYG,QB,,qb/int,0.0251,0.0,0.0,0.0,0.0,0.0,0.0,0.1703,0.2355,PRE_INACTIVES,CONTAMINATED_QB3,PARTIAL_PLAYER_COVERAGE,QB3_WEEK1_SEASON_BOUNDARY;QB3_PARTICIPATION_MIXING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
