player,team,opponent,hrb_market_name,line,over_odds,under_odds,sportsbook,retrieval_timestamp_utc,source_url
Bijan Robinson,ATL,PIT,Receiving Yards,33.5,-120,-110,Hard Rock Bet,2026-09-13T16:06:00.505Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Darnell Washington,PIT,ATL,Receiving Yards,16.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.505Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
DK Metcalf,PIT,ATL,Receiving Yards,49.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.505Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Drake London,ATL,PIT,Receiving Yards,54.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.505Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Jahan Dotson,ATL,PIT,Receiving Yards,13.5,-120,-110,Hard Rock Bet,2026-09-13T16:06:00.505Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Jaylen Warren,PIT,ATL,Receiving Yards,18.5,-120,-110,Hard Rock Bet,2026-09-13T16:06:00.505Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Kyle Pitts Sr.,ATL,PIT,Receiving Yards,38.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.505Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Michael Pittman Jr.,PIT,ATL,Receiving Yards,37.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.505Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Pat Freiermuth,PIT,ATL,Receiving Yards,27.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.505Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Rico Dowdle,PIT,ATL,Receiving Yards,10.5,-120,-110,Hard Rock Bet,2026-09-13T16:06:00.505Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Roman Wilson,PIT,ATL,Receiving Yards,11.5,-120,-110,Hard Rock Bet,2026-09-13T16:06:00.505Z,https://app.hardrock.bet/competition/nfl/6736746968422416629?tab=player-props
Lamar Jackson,BAL,IND,Passing TDs,1.5,+100,-130,Hard Rock Bet,2026-09-13T16:02:32.302Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Daniel Jones,IND,BAL,Passing TDs,1.5,+120,-160,Hard Rock Bet,2026-09-13T16:02:32.302Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Lamar Jackson,BAL,IND,Interceptions,0.5,+110,-145,Hard Rock Bet,2026-09-13T16:02:32.302Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Daniel Jones,IND,BAL,Interceptions,0.5,-115,-115,Hard Rock Bet,2026-09-13T16:02:32.302Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Lamar Jackson,BAL,IND,Pass Completions,18.5,+110,-140,Hard Rock Bet,2026-09-13T16:02:32.302Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Daniel Jones,IND,BAL,Pass Completions,22.5,-115,-115,Hard Rock Bet,2026-09-13T16:02:32.302Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Lamar Jackson,BAL,IND,Pass Attempts,27.5,-120,-110,Hard Rock Bet,2026-09-13T16:02:32.302Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Daniel Jones,IND,BAL,Pass Attempts,31.5,-125,-105,Hard Rock Bet,2026-09-13T16:02:32.302Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Derrick Henry,BAL,IND,Rushing Attempts,17.5,-125,-105,Hard Rock Bet,2026-09-13T16:02:51.236Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Lamar Jackson,BAL,IND,Rushing Attempts,6.5,-110,-120,Hard Rock Bet,2026-09-13T16:02:51.236Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Jonathan Taylor,IND,BAL,Rushing Attempts,18.5,+100,-130,Hard Rock Bet,2026-09-13T16:02:51.236Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Daniel Jones,IND,BAL,Rushing Attempts,3.5,-110,-120,Hard Rock Bet,2026-09-13T16:02:51.236Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Zay Flowers,BAL,IND,Receptions,4.5,-160,+120,Hard Rock Bet,2026-09-13T16:03:17.405Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Ja'Kobi Lane,IND,BAL,Receptions,1.5,-130,+100,Hard Rock Bet,2026-09-13T16:03:17.405Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Rashod Bateman,BAL,IND,Receptions,1.5,-190,+145,Hard Rock Bet,2026-09-13T16:03:17.405Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Derrick Henry,BAL,IND,Receptions,1.5,+175,-250,Hard Rock Bet,2026-09-13T16:03:17.405Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Mark Andrews,BAL,IND,Receptions,3.5,+110,-140,Hard Rock Bet,2026-09-13T16:03:17.405Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Justice Hill,BAL,IND,Receptions,1.5,-200,+145,Hard Rock Bet,2026-09-13T16:03:17.405Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Josh Downs,IND,BAL,Receptions,4.5,+115,-145,Hard Rock Bet,2026-09-13T16:03:17.405Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Jonathan Taylor,IND,BAL,Receptions,2.5,-120,-110,Hard Rock Bet,2026-09-13T16:03:17.405Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Alec Pierce,IND,BAL,Receptions,2.5,+110,-140,Hard Rock Bet,2026-09-13T16:03:17.405Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Tyler Warren,IND,BAL,Receptions,4.5,-145,+115,Hard Rock Bet,2026-09-13T16:03:17.405Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Keenan Allen,IND,BAL,Receptions,3.5,+110,-145,Hard Rock Bet,2026-09-13T16:03:17.405Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Daniel Jones,IND,BAL,Passing Yards,229.5,-115,-115,Hard Rock Bet,2026-09-13T16:05:35.566Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Lamar Jackson,BAL,IND,Passing Yards,219.5,-115,-115,Hard Rock Bet,2026-09-13T16:05:35.566Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Daniel Jones,IND,BAL,Rushing Yards,10.5,-120,-110,Hard Rock Bet,2026-09-13T16:05:46.012Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Derrick Henry,BAL,IND,Rushing Yards,78.5,-115,-115,Hard Rock Bet,2026-09-13T16:05:46.012Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Jonathan Taylor,IND,BAL,Rushing Yards,77.5,-115,-115,Hard Rock Bet,2026-09-13T16:05:46.012Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Justice Hill,BAL,IND,Rushing Yards,8.5,-110,-120,Hard Rock Bet,2026-09-13T16:05:46.012Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Lamar Jackson,BAL,IND,Rushing Yards,38.5,-115,-115,Hard Rock Bet,2026-09-13T16:05:46.012Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Alec Pierce,IND,BAL,Receiving Yards,29.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.382Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Derrick Henry,BAL,IND,Receiving Yards,6.5,-120,-110,Hard Rock Bet,2026-09-13T16:06:00.382Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Ja'Kobi Lane,IND,BAL,Receiving Yards,19.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.382Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Jonathan Taylor,IND,BAL,Receiving Yards,18.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.382Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Josh Downs,IND,BAL,Receiving Yards,45.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.382Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Justice Hill,BAL,IND,Receiving Yards,10.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.382Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Keenan Allen,IND,BAL,Receiving Yards,27.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.382Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Mark Andrews,BAL,IND,Receiving Yards,32.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.382Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Rashod Bateman,BAL,IND,Receiving Yards,25.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.382Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Tyler Warren,IND,BAL,Receiving Yards,47.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.382Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Zay Flowers,BAL,IND,Receiving Yards,64.5,-115,-115,Hard Rock Bet,2026-09-13T16:06:00.382Z,https://app.hardrock.bet/competition/nfl/1904032724532986189?tab=player-props
Josh Allen,BUF,HOU,Passing TDs,1.5,+145,-195,Hard Rock Bet,2026-09-13T16:03:47.396Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
C.J. Stroud,HOU,BUF,Passing TDs,1.5,+120,-155,Hard Rock Bet,2026-09-13T16:03:47.396Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Josh Allen,BUF,HOU,Interceptions,0.5,-125,-105,Hard Rock Bet,2026-09-13T16:03:47.396Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
C.J. Stroud,HOU,BUF,Interceptions,0.5,-125,-105,Hard Rock Bet,2026-09-13T16:03:47.396Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Josh Allen,BUF,HOU,Pass Completions,19.5,-120,-110,Hard Rock Bet,2026-09-13T16:03:47.396Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
C.J. Stroud,HOU,BUF,Pass Completions,19.5,-130,+100,Hard Rock Bet,2026-09-13T16:03:47.396Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Josh Allen,BUF,HOU,Pass Attempts,30.5,-115,-115,Hard Rock Bet,2026-09-13T16:03:47.396Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
C.J. Stroud,HOU,BUF,Pass Attempts,31.5,-115,-115,Hard Rock Bet,2026-09-13T16:03:47.396Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Josh Allen,BUF,HOU,Rushing Attempts,6.5,-115,-115,Hard Rock Bet,2026-09-13T16:04:03.436Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
James Cook III,BUF,HOU,Rushing Attempts,16.5,-125,-105,Hard Rock Bet,2026-09-13T16:04:03.436Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Woody Marks,HOU,BUF,Rushing Attempts,7.5,-105,-125,Hard Rock Bet,2026-09-13T16:04:03.436Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
David Montgomery,HOU,BUF,Rushing Attempts,13.5,-120,-110,Hard Rock Bet,2026-09-13T16:04:03.436Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
James Cook III,BUF,HOU,Receptions,2.5,-130,+100,Hard Rock Bet,2026-09-13T16:04:20.539Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Dawson Knox,BUF,HOU,Receptions,1.5,+100,-130,Hard Rock Bet,2026-09-13T16:04:20.539Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
DJ Moore,BUF,HOU,Receptions,3.5,-145,+110,Hard Rock Bet,2026-09-13T16:04:20.539Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Khalil Shakir,BUF,HOU,Receptions,3.5,-130,+100,Hard Rock Bet,2026-09-13T16:04:20.539Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Dalton Kincaid,BUF,HOU,Receptions,3.5,-110,-120,Hard Rock Bet,2026-09-13T16:04:20.539Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Joshua Palmer,BUF,HOU,Receptions,1.5,+155,-210,Hard Rock Bet,2026-09-13T16:04:20.539Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Keon Coleman,BUF,HOU,Receptions,1.5,+165,-230,Hard Rock Bet,2026-09-13T16:04:20.539Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Dalton Schultz,HOU,BUF,Receptions,3.5,-120,-110,Hard Rock Bet,2026-09-13T16:04:20.539Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
David Montgomery,HOU,BUF,Receptions,1.5,-130,+100,Hard Rock Bet,2026-09-13T16:04:20.539Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Kayshon Boutte,HOU,BUF,Receptions,1.5,-155,+115,Hard Rock Bet,2026-09-13T16:04:20.539Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Woody Marks,HOU,BUF,Receptions,1.5,-110,-120,Hard Rock Bet,2026-09-13T16:04:20.539Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Nico Collins,HOU,BUF,Receptions,5.5,+115,-145,Hard Rock Bet,2026-09-13T16:04:20.539Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Xavier Hutchinson,HOU,BUF,Receptions,1.5,-155,+115,Hard Rock Bet,2026-09-13T16:04:20.539Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Jaylin Noel,HOU,BUF,Receptions,1.5,-110,-120,Hard Rock Bet,2026-09-13T16:04:20.539Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
C.J. Stroud,HOU,BUF,Passing Yards,222.5,-115,-115,Hard Rock Bet,2026-09-13T16:05:43.391Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Josh Allen,BUF,HOU,Passing Yards,223.5,-115,-115,Hard Rock Bet,2026-09-13T16:05:43.391Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
C.J. Stroud,HOU,BUF,Rushing Yards,10.5,-115,-115,Hard Rock Bet,2026-09-13T16:05:56.938Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
David Montgomery,HOU,BUF,Rushing Yards,55.5,-115,-115,Hard Rock Bet,2026-09-13T16:05:56.938Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
James Cook III,BUF,HOU,Rushing Yards,74.5,-115,-115,Hard Rock Bet,2026-09-13T16:05:56.938Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
Josh Allen,BUF,HOU,Rushing Yards,31.5,-115,-115,Hard Rock Bet,2026-09-13T16:05:56.938Z,https://app.hardrock.bet/competition/nfl/4425837409627930875?tab=player-props
