season,game_id,team,starter,established_incumbent,team_dropbacks,starter_share,pid,dropbacks,share,classification,entry_qtr,entry_secs_remaining,margin_at_entry,starter_returned
2021,2021_04_HOU_BUF,BUF,00-0034857,True,32,0.9688,00-0033869,1,0.0312,BLOWOUT_RELIEF,4.0,312.0,33.0,False
2021,2021_08_MIA_BUF,BUF,00-0034857,True,43,0.9767,00-0029000,1,0.0233,PLANNED_ROTATION_OR_PACKAGE,4.0,815.0,7.0,True
2021,2021_11_IND_BUF,BUF,00-0034857,True,41,0.878,00-0033869,5,0.122,BLOWOUT_RELIEF,4.0,377.0,26.0,False
2021,2021_17_ATL_BUF,BUF,00-0034857,True,27,0.963,00-0031588,1,0.037,PLANNED_ROTATION_OR_PACKAGE,2.0,2100.0,9.0,True
2021,2021_18_NYJ_BUF,BUF,00-0034857,True,46,0.9783,00-0033869,1,0.0217,BLOWOUT_RELIEF,4.0,148.0,17.0,False
2022,2022_02_TEN_BUF,BUF,00-0034857,True,41,0.9512,00-0028986,2,0.0488,BLOWOUT_RELIEF,4.0,900.0,34.0,False
2022,2022_05_PIT_BUF,BUF,00-0034857,True,36,0.8611,00-0028986,5,0.1389,BLOWOUT_RELIEF,4.0,577.0,35.0,False
2024,2024_03_JAX_BUF,BUF,00-0034857,True,31,0.9677,00-0033869,1,0.0323,BLOWOUT_RELIEF,4.0,512.0,27.0,False
2024,2024_04_BUF_BAL,BUF,00-0034857,True,34,0.9412,00-0033869,2,0.0588,BLOWOUT_RELIEF,4.0,399.0,25.0,False
2024,2024_13_SF_BUF,BUF,00-0034857,True,18,0.9444,00-0033869,1,0.0556,BLOWOUT_RELIEF,4.0,341.0,25.0,False
2024,2024_17_NYJ_BUF,BUF,00-0034857,True,28,0.9643,00-0033869,1,0.0357,BLOWOUT_RELIEF,4.0,768.0,33.0,False
2024,2024_18_BUF_NE,BUF,00-0033869,False,32,0.6562,00-0034401,11,0.3438,REPLACEMENT_NO_RETURN,4.0,900.0,1.0,False
2021,2021_07_CAR_NYG,CAR,00-0034869,True,45,0.6222,00-0033275,17,0.3778,REPLACEMENT_NO_RETURN,4.0,761.0,12.0,False
2021,2021_08_CAR_ATL,CAR,00-0034869,True,25,0.96,00-0033275,1,0.04,REPLACEMENT_NO_RETURN,4.0,401.0,2.0,False
2021,2021_10_CAR_ARI,CAR,00-0033275,False,33,0.8788,00-0027939,4,0.1212,PLANNED_ROTATION_OR_PACKAGE,1.0,3223.0,7.0,True
2021,2021_12_CAR_MIA,CAR,00-0027939,True,36,0.6111,00-0033275,14,0.3889,BLOWOUT_RELIEF,4.0,658.0,20.0,False
2021,2021_14_ATL_CAR,CAR,00-0027939,True,36,0.6667,00-0033275,12,0.3333,PLANNED_ROTATION_OR_PACKAGE,2.0,1992.0,10.0,True
2021,2021_16_TB_CAR,CAR,00-0027939,True,52,0.3077,00-0034869,36,0.6923,UNCLASSIFIED,2.0,2414.0,7.0,True
2021,2021_18_CAR_TB,CAR,00-0034869,True,45,0.9778,00-0034052,1,0.0222,PLANNED_ROTATION_OR_PACKAGE,2.0,1920.0,4.0,True
2022,2022_05_SF_CAR,CAR,00-0034855,True,48,0.8333,00-0033275,8,0.1667,BLOWOUT_RELIEF,4.0,190.0,22.0,False
2022,2022_06_CAR_LA,CAR,00-0033275,False,23,0.7826,00-0036226,5,0.2174,REPLACEMENT_NO_RETURN,4.0,233.0,14.0,False
2022,2022_09_CAR_CIN,CAR,00-0033275,True,30,0.3333,00-0034855,20,0.6667,REPLACEMENT_NO_RETURN,3.0,1787.0,35.0,False
2023,2023_06_CAR_MIA,CAR,00-0039150,True,43,0.9767,00-0028872,1,0.0233,PLANNED_ROTATION_OR_PACKAGE,2.0,2307.0,7.0,True
2024,2024_01_CAR_NO,CAR,00-0039150,False,35,0.9714,00-0027973,1,0.0286,BLOWOUT_RELIEF,4.0,81.0,37.0,False
2024,2024_04_CIN_CAR,CAR,00-0027973,True,41,0.9756,00-0028872,1,0.0244,PLANNED_ROTATION_OR_PACKAGE,3.0,1226.0,14.0,True
2024,2024_05_CAR_CHI,CAR,00-0027973,True,39,0.7949,00-0039150,8,0.2051,BLOWOUT_RELIEF,4.0,255.0,26.0,False
2024,2024_07_CAR_WAS,CAR,00-0027973,True,20,0.9,00-0039150,2,0.1,BLOWOUT_RELIEF,4.0,256.0,33.0,False
2024,2024_08_CAR_DEN,CAR,00-0039150,False,40,0.975,00-0028872,1,0.025,PLANNED_ROTATION_OR_PACKAGE,3.0,1408.0,14.0,True
2024,2024_18_CAR_ATL,CAR,00-0039150,True,35,0.9714,00-0039491,1,0.0286,PLANNED_ROTATION_OR_PACKAGE,1.0,3250.0,3.0,True
2021,2021_01_CHI_LA,CHI,00-0027973,False,43,0.9535,00-0036945,2,0.0465,PLANNED_ROTATION_OR_PACKAGE,1.0,3487.0,0.0,True
2021,2021_02_CIN_CHI,CHI,00-0027973,True,27,0.4444,00-0036945,15,0.5556,UNCLASSIFIED,1.0,2722.0,7.0,True
2021,2021_05_CHI_LV,CHI,00-0036945,True,23,0.9565,00-0027973,1,0.0435,PLANNED_ROTATION_OR_PACKAGE,2.0,2115.0,4.0,True
2021,2021_11_BAL_CHI,CHI,00-0036945,True,37,0.3514,00-0027973,24,0.6486,REPLACEMENT_NO_RETURN,3.0,1426.0,6.0,False
2021,2021_17_NYG_CHI,CHI,00-0027973,False,38,0.9737,00-0035685,1,0.0263,BLOWOUT_RELIEF,4.0,115.0,26.0,False
2022,2022_08_CHI_DAL,CHI,00-0036945,True,28,0.9643,00-0032156,1,0.0357,BLOWOUT_RELIEF,4.0,120.0,20.0,False
2022,2022_15_PHI_CHI,CHI,00-0036945,True,28,0.9643,00-0033958,1,0.0357,PLANNED_ROTATION_OR_PACKAGE,4.0,423.0,4.0,True
2022,2022_16_BUF_CHI,CHI,00-0036945,True,30,0.8333,00-0033958,5,0.1667,BLOWOUT_RELIEF,4.0,62.0,22.0,False
2022,2022_18_MIN_CHI,CHI,00-0033958,False,28,0.7143,00-0034177,8,0.2857,PLANNED_ROTATION_OR_PACKAGE,2.0,2355.0,13.0,True
2023,2023_06_MIN_CHI,CHI,00-0036945,True,29,0.4828,00-0038416,15,0.5172,REPLACEMENT_NO_RETURN,3.0,1387.0,6.0,False
2023,2023_07_LV_CHI,CHI,00-0038416,False,31,0.9677,00-0033958,1,0.0323,PLANNED_ROTATION_OR_PACKAGE,2.0,1802.0,11.0,True
2024,2024_12_MIN_CHI,CHI,00-0039918,True,51,0.9804,00-0034827,1,0.0196,PLANNED_ROTATION_OR_PACKAGE,3.0,1608.0,7.0,True
