player,team,market,side,model_mean,model_median,hardrock_line,over_odds,under_odds,projection_minus_line,projection_minus_line_pct,model_p_over_at_exact_line,model_p_under_at_exact_line,hardrock_novig_p_over,hardrock_novig_p_under,selected_side,model_market_probability_gap_pp,forecast_stage,model_written_at,market_retrieved_at,data_status,refusal_reason
Odell Beckham Jr.,NYG,Receptions,OVER_UNDER,0.709,0.0,1.5,+130,-170,-0.791,-52.7333,0.18,0.82,0.408472,0.591528,UNDER,22.8472,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:45.343Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Malachi Fields,NYG,Receiving Yards,OVER_UNDER,9.358,0.0,24.5,-115,-115,-15.142,-61.8041,0.139,0.861,0.5,0.5,UNDER,36.1,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:32.257Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Malachi Fields,NYG,Receptions,OVER_UNDER,0.778,0.0,2.5,+125,-160,-1.722,-68.88,0.087,0.913,0.419355,0.580645,UNDER,33.2355,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:45.343Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Theo Johnson,NYG,Receiving Yards,OVER_UNDER,25.526,21.0,15.5,-115,-115,10.026,64.6839,0.575,0.425,0.5,0.5,OVER,7.5,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:32.257Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Theo Johnson,NYG,Receptions,OVER_UNDER,2.343,2.0,1.5,-120,-110,0.843,56.2,0.629,0.371,0.510121,0.489879,OVER,11.8879,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:45.343Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Jake Ferguson,DAL,Receiving Yards,OVER_UNDER,25.178,20.0,29.5,-120,-110,-4.322,-14.6508,0.353,0.647,0.510121,0.489879,UNDER,15.7121,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:32.257Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Jake Ferguson,DAL,Receptions,OVER_UNDER,2.911,3.0,3.5,-120,-110,-0.589,-16.8286,0.351,0.649,0.510121,0.489879,UNDER,15.9121,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:45.343Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Isaiah Likely,NYG,Receiving Yards,OVER_UNDER,16.291,9.0,39.5,-115,-115,-23.209,-58.757,0.144,0.856,0.5,0.5,UNDER,35.6,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:32.257Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Isaiah Likely,NYG,Receptions,OVER_UNDER,1.348,1.0,3.5,-110,-120,-2.152,-61.4857,0.084,0.916,0.489879,0.510121,UNDER,40.5879,PRE_INACTIVES,2026-09-13T21:25:35Z,2026-09-13T21:18:45.343Z,PRE_INACTIVES_AVAILABILITY_UNRESOLVED,
Jaxson Dart,NYG,Passing TDs,OVER_UNDER,,,1.5,+135,-180,,,,,,,,,PRE_INACTIVES,,2026-09-13T21:17:25.723Z,REFUSED,"REFUSED:CONTAMINATING_DEFECT | QB_INACTIVE_NOT_CONSUMED,QB_AVAILABILITY_UNRESOLVED_PRE_INACTIVES,QB3_WEEK1_SEASON_BOUNDARY; stage=PRE_INACTIVES; qb_inactive_ownership_enforced=False; failed_conditions=[official_inactive_evidence_ingested,evidence_tied_to_this_game_and_team,no_unresolved_identity]; qb3_rooms: DAL=DISAGREE (season opener); NYG=AGREE (season opener)"
